country,s1,s2,s3,s4,s5,s6,s7,SN,A,PBC,O,SN_1,SN_2,SN_3,SN_4,SN_5,SN_6,SN_7,A_1,A_2,A_3,A_4,A_5,A_6,A_7,PBC_1,PBC_2,PBC_3,PBC_4,PBC_5,PBC_6,PBC_7,O_1,O_2,O_3,O_4,O_5,O_6,O_7,I2,I1,I4,I5,I6,I3,I7,firstDev,secondDev,startDate,endDate,Period
Australia,0.104789196,0.084778178,0.072870913,0.087852094,0.09377384,0.090313921,0.088370133,0.2121286,0.126823189,0.221677276,0.243022922,0.206935291,0.201544973,0.178333089,0.245492923,0.233114304,0.181723676,0.19219183,0.142408281,0.126878345,0.117575255,0.123419756,0.136097028,0.128224588,0.119353166,0.217500199,0.208593121,0.220956059,0.250415656,0.2344121,0.190945245,0.193880829,0.252043107,0.239000994,0.216135055,0.261006246,0.258075655,0.236628245,0.212002633,1,1,1,1,1,1,1,1,0.119047619,2/17/21,2/23/21,11
Australia,0.118096861,0.076846823,0.074519854,0.09717141,0.094335854,0.088984448,0.095841058,0.231301443,0.123710845,0.219687645,0.245162763,0.253055123,0.223637941,0.219675659,0.217999993,0.213795611,0.229308535,0.232913614,0.151166526,0.117945903,0.121566721,0.127990465,0.135431082,0.122948194,0.118601474,0.212040248,0.224801042,0.226321012,0.215693712,0.221381924,0.204900245,0.17984347,0.280863538,0.243451393,0.230906195,0.244004492,0.226148148,0.242719256,0.172114473,1,1,1,1,1,1,1,0.25,-2.75,2/24/21,3/2/21,12
Australia,0.08485659,0.069456218,0.060963303,0.070503616,0.081564256,0.078519793,0.097867903,0.224255945,0.117015571,0.235234741,0.246932272,0.188563478,0.213834358,0.210230015,0.255711388,0.198999411,0.200311111,0.203643719,0.125837191,0.115348501,0.112384113,0.1122728,0.127237206,0.119412981,0.126644217,0.257599714,0.231803877,0.214297541,0.226178093,0.239684257,0.236011766,0.177934229,0.275269571,0.237025512,0.224492025,0.273389576,0.219960676,0.240401414,0.249455563,1,1,1,1,1,1,1,-0.268292683,0.134920635,6/30/21,7/6/21,13
Australia,0.077742138,0.061673962,0.058386527,0.074325693,0.07234059,0.069966587,0.088388752,0.221805893,0.110621946,0.21596607,0.238962353,0.207254455,0.222304638,0.19151925,0.218432813,0.199429202,0.23530495,0.193446665,0.125099625,0.107504057,0.111631622,0.11467474,0.119668841,0.112340226,0.119784098,0.213956139,0.214120173,0.197685566,0.208863411,0.226156781,0.212678617,0.190250053,0.240337593,0.223558129,0.213804797,0.238717601,0.258229614,0.222611034,0.217483287,1,1,1,1,1,1,1,1.523809524,-0.360784314,7/7/21,7/13/21,14
Australia,0.07644116,0.075701428,0.040956082,0.072883168,0.081193704,0.087532306,0.097492236,0.215158241,0.116978062,0.212531661,0.239202775,0.203187149,0.216193284,0.201773954,0.223595872,0.193384427,0.239904444,0.181063386,0.122551934,0.12154571,0.108461029,0.113217486,0.125663844,0.128663324,0.127675084,0.222494327,0.203188573,0.212273109,0.21022741,0.212966611,0.213600759,0.179119604,0.237544223,0.23103646,0.231295163,0.248052992,0.203795808,0.245094871,0.199031844,1,1,1,1,1,1,1,0.738095238,0.611393324,7/14/21,7/20/21,15
Australia,0.062669792,0.068292257,0.054235665,0.07279321,0.078617509,0.069470648,0.089199741,0.217525583,0.116329154,0.21655496,0.239937455,0.199994197,0.211041227,0.203421782,0.218607075,0.22250988,0.215814273,0.196186422,0.117645418,0.116685348,0.115993988,0.119474327,0.124645332,0.116574946,0.120830628,0.209231611,0.216448451,0.210123409,0.198216022,0.206639827,0.211114586,0.195511768,0.24102148,0.225542092,0.228923286,0.253670186,0.231863984,0.227469546,0.204711251,1,1,1,1,1,1,1,0.29375,0.029109589,7/21/21,7/27/21,16
Australia,0.083347204,0.073591449,0.063701147,0.080727614,0.101543238,0.071382671,0.093589587,0.220763338,0.117780354,0.224229108,0.238551252,0.207680975,0.203594906,0.216304437,0.265040524,0.234283931,0.21009757,0.211434959,0.126584712,0.117444637,0.11629973,0.122526822,0.138635102,0.108534064,0.126110472,0.21598166,0.218148116,0.22637612,0.202442155,0.218073238,0.20809397,0.19263888,0.233339135,0.22845955,0.233289875,0.258991165,0.210335819,0.214423629,0.199814618,1,1,1,1,1,1,1,0,-0.092757937,7/28/21,8/3/21,17
Australia,0.065200048,0.071327006,0.053264201,0.066032961,0.086412125,0.069672812,0.071927474,0.218524911,0.112593456,0.216818918,0.237413114,0.18601171,0.218794386,0.213632296,0.223655229,0.225007585,0.202959251,0.197778792,0.11590581,0.115877133,0.10933914,0.114580984,0.128655456,0.111740799,0.110368766,0.227567166,0.209101174,0.209961612,0.200122499,0.250935827,0.209990527,0.168131001,0.233659091,0.220318355,0.227313755,0.268814787,0.238379018,0.200881618,0.210079343,1,1,1,1,1,1,1,0.215231788,-0.227886416,8/4/21,8/10/21,18
Australia,0.059890099,0.067019791,0.054052602,0.065624815,0.079715463,0.055487966,0.073285438,0.214809761,0.112552636,0.21434383,0.232552197,0.211332128,0.209200855,0.214811681,0.202383194,0.214745262,0.206063718,0.204186909,0.11686097,0.114830831,0.111243453,0.116212722,0.127537233,0.109031475,0.114332843,0.212747009,0.216256505,0.215449841,0.215742216,0.206733828,0.190585811,0.179554596,0.23304463,0.232405801,0.219252676,0.242280787,0.235988235,0.211755613,0.190572042,1,1,1,1,1,1,1,0.819892473,0.390940337,8/11/21,8/17/21,19
Australia,0.063799333,0.065158446,0.062503535,0.059676356,0.078205394,0.066089048,0.078664029,0.216469428,0.112713504,0.214118832,0.237122315,0.224829566,0.214489995,0.207575813,0.223514083,0.222815761,0.200622897,0.199298369,0.117638446,0.112115945,0.116483429,0.107557732,0.125894252,0.113974362,0.112875126,0.212469592,0.211404522,0.205042744,0.207272481,0.214372178,0.176657313,0.176091803,0.226532568,0.233841041,0.227193047,0.243814647,0.260635078,0.214286878,0.195411514,1,1,1,1,1,1,1,0.299866131,0.060871244,8/18/21,8/24/21,20
