country,type,y,a,I,SN,A,PBC,O
United Kingdom,1,-1.286817,-1.2856,1,0.249112798,0.147981715,0.212323502,0.267227733
United Kingdom,1,-1.286817,-1.2856,1,0.236837023,0.146736687,0.220934033,0.264007531
United Kingdom,1,-1.286817,-1.2856,1,0.25409482,0.134963925,0.232782065,0.262140712
United Kingdom,1,-1.286817,-1.2856,1,0.246443296,0.137243171,0.220095119,0.241651978
United Kingdom,1,-1.286817,-1.2856,1,0.222231427,0.128536192,0.227987773,0.226790233
United Kingdom,1,-1.286817,-1.2856,1,0.220353174,0.12749254,0.216077643,0.244105881
United States,1,1.9754376,-1.2856,0,0.218781829,0.114130661,0.223113931,0.226607569
United States,1,1.9754376,-1.2856,0,0.205553171,0.125812282,0.211736798,0.228414232
United States,1,-1.310004,-1.2856,1,0.211203073,0.131123335,0.222939299,0.207262667
United States,1,-1.310004,-1.2856,1,0.229025607,0.133467322,0.215917126,0.239160769
United States,1,-1.310004,-1.2856,1,0.235364872,0.135882241,0.231881896,0.25152841
United States,1,-1.310004,-1.2856,1,0.234666988,0.135375388,0.23088464,0.254303362
United States,1,-1.310004,-1.2856,1,0.242109179,0.134687927,0.229730481,0.260910458
United States,1,-1.310004,-1.2856,1,0.243410355,0.138377843,0.230435256,0.251279382
United States,1,-1.310004,-1.2856,1,0.248498004,0.139768774,0.227186062,0.243099499
United States,1,-1.310004,-1.2856,1,0.247539441,0.139474329,0.229935238,0.268688045
United States,1,-1.310004,-1.2856,1,0.241816872,0.139667229,0.233910309,0.257772159
United States,1,-1.310004,-1.2856,1,0.246813864,0.138592363,0.22396643,0.244519575
United States,1,-1.310004,-1.2856,1,0.25093997,0.134801437,0.229685337,0.23778287
United States,1,-1.310004,-1.2856,1,0.242958863,0.13200121,0.223440381,0.245049547
United States,1,-1.310004,-1.2856,1,0.241647793,0.136868432,0.227350541,0.242470097
United States,1,-1.310004,-1.2856,1,0.232346803,0.133624824,0.223902751,0.233388262
United States,1,-1.310004,-1.2856,1,0.230228837,0.134489202,0.225910082,0.25195261
