country,s1,s2,s3,s4,s5,s8,s6,s7,SN,A,PBC,O,s1_SN,s2_SN,s3_SN,s4_SN,s5_SN,s8_SN,s6_SN,s7_SN,s1_A,s2_A,s3_A,s4_A,s5_A,s8_A,s6_A,s7_A,s1_PBC,s2_PBC,s3_PBC,s4_PBC,s5_PBC,s8_PBC,s6_PBC,s7_PBC,s1_O,s2_O,s3_O,s4_O,s5_O,s8_O,s6_O,s7_O,s2_I,s1_I,s4_I,s5_I,s6_I,s3_I,s7_I,y1,y2,startDate,endDate
Australia,0.074457233,0.068087881,0.053732587,0.048610707,0.096921787,0.043086308,0.065815827,0.109818776,0.221560754,0.231316337,0.210062082,0.225365147,0.208097998,0.222837637,0.190947183,0.184613366,0.24972322,0.249970125,0.171700881,0.20465168,0.24249919,0.216624329,0.21066688,0.212862881,0.249707277,0.25363006,0.202816669,0.214778388,0.214319309,0.208957923,0.193226923,0.21101908,0.186298327,0.224357099,0.204378685,0.18984062,0.237175457,0.221915148,0.198997588,0.225013194,0.235663003,0.253263092,0.184259443,0.285904858,1,1,1,0,1,1,1,-0.2,-0.318743313,23/3/2022,25/3/2022
Australia,0.075050023,0.054083869,0.067135432,0.067103961,0.075917656,0.049878089,0.061474227,0.082680594,0.215692391,0.234288218,0.222034131,0.228873541,0.194362334,0.216614768,0.205022552,0.244816286,0.233711128,0.220252447,0.216045065,0.183949065,0.21606521,0.214675147,0.223456569,0.220804468,0.239850175,0.262385364,0.220820917,0.186796193,0.213921127,0.204712566,0.236614177,0.215218236,0.228628207,0.234764463,0.226988747,0.18721062,0.272576221,0.23182491,0.206851448,0.237236831,0.290773462,0.24913296,0.215295573,0.241340329,1,1,1,0,1,1,1,0.37,0.201372437,26/3/2022,29/3/2022
Australia,0.064487156,0.050927527,0.044348979,0.057205939,0.098685144,0.043272336,0.070376327,0.089538191,0.212960338,0.227927743,0.209065291,0.218822329,0.18983938,0.20707217,0.155415603,0.25158807,0.25139391,0.231883668,0.21226118,0.211729452,0.20981359,0.210981995,0.21219785,0.226892429,0.213904311,0.250871822,0.214366641,0.219827077,0.20329772,0.199063524,0.177577783,0.206346631,0.225385693,0.224884892,0.205606141,0.192531921,0.193539578,0.19547122,0.211809035,0.271461851,0.215769753,0.233206661,0.20869962,0.270874612,0,0,1,0,1,1,1,-0.29,-0.180620716,25/5/2022,27/5/2022
Australia,0.071911356,0.069522764,0.040226295,0.071726113,0.083637514,0.049042957,0.068584504,0.062750974,0.227882835,0.236315453,0.212885455,0.229517065,0.199583382,0.24593274,0.198491346,0.227387811,0.2582696,0.24536094,0.191695006,0.13416231,0.222687192,0.229771258,0.214397967,0.234506366,0.212208151,0.261293861,0.198233482,0.195547464,0.178767179,0.226127774,0.201795812,0.208948517,0.182926501,0.23123891,0.187756417,0.169628494,0.230501276,0.222595633,0.20283171,0.186523156,0.216378071,0.266052967,0.240577437,0.248817106,0,0,1,0,1,1,1,0.34,0.227207214,28/5/2022,31/5/2022
Australia,0.062016736,0.048316438,0.052827591,0.081386509,0.078394126,0.04984978,0.05599295,0.105528981,0.238241963,0.243111321,0.218639423,0.246191633,0.210899033,0.204798361,0.257384652,0.286783257,0.297904942,0.257231387,0.117841044,0.23791655,0.238278186,0.213851865,0.229286148,0.243203709,0.212822,0.273176827,0.206946864,0.22196847,0.197436526,0.195826989,0.2362674,0.234546246,0.159731675,0.236375866,0.224726175,0.130144413,0.250182175,0.218962383,0.227794432,0.250854293,0.220882786,0.308438256,0.160531836,0.24286541,0,0,1,0,1,0,0,-0.62,0.222222223,4/3/2020,6/3/2020
Australia,0.071089321,0.065675986,0.077996271,0.076819074,0.077160506,0.051499083,0.058600671,0.096632655,0.234113119,0.251642266,0.216852903,0.231177231,0.179948941,0.204547369,0.275819471,0.306861366,0.193566921,0.236547055,0.216127079,0.19825534,0.226100604,0.235836225,0.240717771,0.235396711,0.232822001,0.283460043,0.204542815,0.212070214,0.196224485,0.176364713,0.262139471,0.197861733,0.265844267,0.236361643,0.192975483,0.162719293,0.294293884,0.181038115,0.221136673,0.254720227,0.232960526,0.270785148,0.253155171,0.208270755,0,0,1,0,1,0,0,1,0.466666667,7/3/2020,10/3/2020
Australia,0.082291852,0.070165791,0.081175179,0.073254778,0.074608457,0.051295572,0.098250304,0.137492705,0.248014441,0.259064535,0.229263316,0.239413057,0.258193677,0.233774799,0.237124045,0.291183209,0.194425019,0.256012942,0.237689568,0.263521879,0.248195179,0.22863207,0.235577714,0.255380658,0.21866619,0.297920781,0.235846431,0.24510696,0.232054733,0.224207315,0.219223185,0.205423623,0.216600648,0.259718419,0.211824454,0.182701785,0.272642701,0.231647131,0.213367683,0.268854747,0.255599612,0.260970546,0.238859766,0.294122858,0,0,1,1,1,0,0,2.43,-0.3125,11/3/2020,13/3/2020
Australia,0.091629633,0.089501746,0.076810721,0.082883924,0.107601066,0.064450577,0.094054482,0.109866388,0.237885863,0.261493761,0.239554903,0.246354745,0.198946698,0.218987248,0.198791035,0.255783364,0.256628385,0.267869246,0.24321916,0.2356304,0.230675071,0.234681687,0.234047902,0.244312173,0.251702833,0.302906323,0.246642283,0.238289836,0.230464745,0.219003608,0.227465087,0.206316304,0.242425523,0.276869899,0.217700932,0.214285224,0.247728563,0.232117304,0.220847183,0.233470293,0.272116139,0.301536689,0.24749891,0.253868883,1,1,1,1,1,0,0,0.53,0.243055556,14/3/2020,17/3/2020
Australia,0.105588506,0.082996106,0.087638331,0.074023044,0.105862841,0.072847058,0.095405651,0.136676963,0.251268397,0.257259718,0.230583793,0.257518237,0.24383835,0.235139345,0.257079476,0.230970927,0.249027677,0.264182277,0.267003812,0.261538371,0.250168693,0.228044153,0.241792765,0.233845478,0.246089996,0.292291416,0.231789275,0.251524774,0.225340925,0.206138687,0.230425617,0.22863092,0.246827186,0.24493447,0.221225655,0.230249516,0.266767991,0.257005522,0.229478486,0.280629138,0.250681678,0.307162709,0.2316131,0.258606775,1,1,1,1,1,0,0,-0.05,-0.57321534,18/3/2020,20/3/2020
Australia,0.090707306,0.085997479,0.073196048,0.06449016,0.101389913,0.068011856,0.081941093,0.108750534,0.243266078,0.25480656,0.223656628,0.258295809,0.239985928,0.227249367,0.214875364,0.254113569,0.232496249,0.273348571,0.253981976,0.225934046,0.232405243,0.231629376,0.230720971,0.23971697,0.23125566,0.296396322,0.230996103,0.224557643,0.213046831,0.206547283,0.221954883,0.21157098,0.222452881,0.246109458,0.207193854,0.220994935,0.262758356,0.260415281,0.226958784,0.284575284,0.240759683,0.318029702,0.235189574,0.255041567,1,1,1,1,1,0,0,0.17,0.176349966,21/3/2020,24/3/2020
