country,s1,s2,s3,s4,s5,s8,s6,s7,SN,A,PBC,O,s1_SN,s2_SN,s3_SN,s4_SN,s5_SN,s8_SN,s6_SN,s7_SN,s1_A,s2_A,s3_A,s4_A,s5_A,s8_A,s6_A,s7_A,s1_PBC,s2_PBC,s3_PBC,s4_PBC,s5_PBC,s8_PBC,s6_PBC,s7_PBC,s1_O,s2_O,s3_O,s4_O,s5_O,s8_O,s6_O,s7_O,s2_I,s1_I,s4_I,s5_I,s6_I,s3_I,s7_I,y1,y2,startDate,endDate
Australia,0.074611933,0.068023061,0.054570824,0.049030377,0.097775275,0.04348837,0.066436811,0.11008908,0.222764505,0.231524012,0.209886103,0.225633677,0.223834501,0.222028222,0.19095215,0.194188358,0.240676238,0.254204113,0.168329761,0.205116316,0.241830296,0.21662019,0.210968886,0.213580546,0.246781621,0.254589376,0.201563125,0.213621576,0.215389682,0.209037414,0.192688642,0.208496119,0.175258384,0.224633698,0.209663781,0.19844541,0.233231429,0.223042769,0.199446601,0.234160021,0.236253921,0.251794227,0.182299343,0.28528142,1,1,1,0,1,1,1,-0.2,-0.318743313,23/3/2022,25/3/2022
Australia,0.071815231,0.054307058,0.068918081,0.068911951,0.07475184,0.049626947,0.0634817,0.085413764,0.215226428,0.234520123,0.221782138,0.229599057,0.189149341,0.218779121,0.20360911,0.23184969,0.245254522,0.221208227,0.213900292,0.173614978,0.214632617,0.215082607,0.222163802,0.217852489,0.241081586,0.262605132,0.218206383,0.191157337,0.211361355,0.205224237,0.236517356,0.208460812,0.250693008,0.234365016,0.223727997,0.186723712,0.271539899,0.231654551,0.208979824,0.244961672,0.289771004,0.250101898,0.206396982,0.239442665,1,1,1,0,1,1,1,0.37,0.201372437,26/3/2022,29/3/2022
Australia,0.06354431,0.050883233,0.043801908,0.058736645,0.100804316,0.043659444,0.069966963,0.089921724,0.21207383,0.228382665,0.209908127,0.219346724,0.190220459,0.206302589,0.1506838,0.228593707,0.248961319,0.231743321,0.210002054,0.209330421,0.20945078,0.211591531,0.213003272,0.228847012,0.21397011,0.251379693,0.214287442,0.219089775,0.209623936,0.205190375,0.179965381,0.200924647,0.223737055,0.225416607,0.203055022,0.189662436,0.192607346,0.196410812,0.210264252,0.295905765,0.216044309,0.233509533,0.212335533,0.27375594,0,0,1,0,1,1,1,-0.29,-0.180620716,25/5/2022,27/5/2022
Australia,0.07124593,0.068872061,0.039782334,0.072611049,0.082373474,0.049050406,0.067945587,0.063772602,0.228066886,0.236374186,0.213174204,0.229924992,0.19826831,0.244006862,0.194795801,0.224732603,0.258105748,0.245404698,0.190718709,0.140658972,0.22192836,0.229799165,0.214157532,0.233781618,0.212426953,0.261403511,0.196834994,0.197647764,0.17002773,0.225671607,0.200986994,0.208969864,0.180234314,0.232411696,0.178796447,0.178071894,0.232972496,0.218418115,0.201422636,0.186545171,0.219228668,0.267182567,0.243155042,0.262103945,0,0,1,0,1,1,1,0.34,0.227207214,28/5/2022,31/5/2022
Australia,0.062408793,0.047180558,0.050076549,0.079311455,0.077619003,0.048770829,0.053888182,0.103825593,0.235772956,0.243595296,0.217963155,0.245807204,0.204389587,0.206154626,0.258381646,0.288463858,0.275527447,0.246973155,0.108122238,0.234827031,0.236820654,0.215250009,0.226591333,0.243205721,0.21170047,0.27471138,0.205454758,0.223204327,0.197436526,0.197991516,0.232040678,0.26938758,0.174170875,0.236664318,0.226287551,0.133806193,0.248556792,0.214447413,0.220203458,0.256182601,0.227906145,0.308550539,0.177686453,0.232596189,0,0,1,0,1,0,0,-0.62,0.222222223,4/3/2020,6/3/2020
Australia,0.069919434,0.065490382,0.076419808,0.078090161,0.075150538,0.051767296,0.05903368,0.102892488,0.237006383,0.251439224,0.21747067,0.230862932,0.188916346,0.209758028,0.286504647,0.316787871,0.200394281,0.237338766,0.208755765,0.206828666,0.22726015,0.23385278,0.241290794,0.235367059,0.231722594,0.282907401,0.206462433,0.217744784,0.197232739,0.177971189,0.258508377,0.187742476,0.260383676,0.24091732,0.184508778,0.166020467,0.295868449,0.186110885,0.221142006,0.262945421,0.233184922,0.266748201,0.257546757,0.219483662,0,0,1,0,1,0,0,1,0.466666667,7/3/2020,10/3/2020
Australia,0.083343755,0.073381647,0.085373348,0.07299743,0.073162288,0.050632414,0.099271968,0.13014057,0.248561656,0.261597932,0.23135857,0.242219645,0.254899599,0.233441549,0.236919013,0.286669869,0.201162136,0.26340637,0.241847443,0.236810918,0.249943259,0.232511943,0.241712387,0.260701709,0.2199558,0.299367012,0.238691229,0.239086536,0.238908825,0.218239134,0.226348206,0.221744308,0.205935526,0.258544798,0.223197967,0.189985258,0.274226061,0.235638202,0.217756559,0.26945665,0.257990522,0.269206565,0.243109663,0.271426658,0,0,1,1,1,0,0,2.43,-0.3125,11/3/2020,13/3/2020
Australia,0.093418478,0.088810326,0.077798505,0.082040175,0.110068627,0.064565355,0.095183555,0.111458706,0.237891236,0.261187746,0.239089771,0.248494133,0.208454931,0.219369312,0.20146988,0.253688637,0.260640643,0.267896678,0.242564925,0.23641931,0.231690151,0.234568984,0.232904747,0.244469476,0.25269256,0.302774932,0.245582528,0.238887327,0.231365305,0.216994229,0.225622047,0.209467755,0.245458888,0.279055151,0.219987269,0.20540239,0.251885535,0.233762241,0.219054322,0.240854112,0.2700875,0.306061329,0.249827893,0.254998561,1,1,1,1,1,0,0,0.53,0.243055556,14/3/2020,17/3/2020
Australia,0.103894175,0.082912253,0.087085316,0.075732158,0.106054489,0.072995113,0.094720168,0.136018841,0.250862476,0.257228432,0.229174994,0.258019017,0.243472451,0.233949651,0.252053517,0.231597093,0.249715912,0.264097853,0.25981656,0.264539784,0.246949353,0.228082014,0.241349031,0.235239088,0.24641106,0.292589087,0.228911968,0.249774416,0.222634196,0.206113519,0.22609299,0.229500604,0.246085482,0.244306881,0.218214443,0.230151314,0.264790461,0.256666628,0.229902879,0.282185679,0.253474852,0.308910475,0.230909683,0.2559058,1,1,1,1,1,0,0,-0.05,-0.57321534,18/3/2020,20/3/2020
Australia,0.090536988,0.085550688,0.072627234,0.064936326,0.102828415,0.067762759,0.081905305,0.111614541,0.242677985,0.254293352,0.223644302,0.25883841,0.241929968,0.225850472,0.21375245,0.254102356,0.233749117,0.272775718,0.250932185,0.22619735,0.232406975,0.231122019,0.230483899,0.237816785,0.231794998,0.295671771,0.231502978,0.225808708,0.213761005,0.206899045,0.22328476,0.215461028,0.220507882,0.245495559,0.209720305,0.221118404,0.265774738,0.259518057,0.227194422,0.283463897,0.248370032,0.311509767,0.238869231,0.251977523,1,1,1,1,1,0,0,0.17,0.176349966,21/3/2020,24/3/2020
