country,s1,s2,s3,s4,s5,s8,s6,s7,SN,A,PBC,O,s1_SN,s2_SN,s3_SN,s4_SN,s5_SN,s8_SN,s6_SN,s7_SN,s1_A,s2_A,s3_A,s4_A,s5_A,s8_A,s6_A,s7_A,s1_PBC,s2_PBC,s3_PBC,s4_PBC,s5_PBC,s8_PBC,s6_PBC,s7_PBC,s1_O,s2_O,s3_O,s4_O,s5_O,s8_O,s6_O,s7_O,s2_I,s1_I,s4_I,s5_I,s6_I,s3_I,s7_I,y1,y2,startDate,endDate
Australia,0.074457233,0.068087881,0.053732587,0.048610707,0.096921787,0.043086308,0.065815827,0.109818776,0.018533195,0.110699023,0.017853159,0.018969775,0.021622131,0.022206386,0.020873895,0.021268278,0.025553439,0.014686211,0.015212481,0.023396377,0.125563165,0.11251807,0.110579393,0.097807616,0.142672803,0.105413848,0.114129143,0.138089771,0.036955212,0.020578643,0.020059682,0.014212805,0.022627538,0.013527338,0.019586074,0.023610099,0.031569463,0.01791738,0.041097246,0.019396984,0.027627944,0.009506672,0.021330742,0.055870113,1,1,1,0,1,1,1,-0.2,-0.318743313,23/3/2022,25/3/2022
Australia,0.075050023,0.054083869,0.067135432,0.067103961,0.075917656,0.049878089,0.061474227,0.082680594,0.017938253,0.11264881,0.020427789,0.021087094,0.025689999,0.019466618,0.020590697,0.030230082,0.025532932,0.013802986,0.018341331,0.019217066,0.117668188,0.105734165,0.126306473,0.115035837,0.13471032,0.109455557,0.119301784,0.111880788,0.03376975,0.020971424,0.024514164,0.014703885,0.027217861,0.016172792,0.029401161,0.030221618,0.04369439,0.018289602,0.056964484,0.018367622,0.024070221,0.008633976,0.021194348,0.035436298,1,1,1,0,1,1,1,0.37,0.201372437,26/3/2022,29/3/2022
Australia,0.064487156,0.050927527,0.044348979,0.057205939,0.098685144,0.043272336,0.070376327,0.089538191,0.015749677,0.110813106,0.018596143,0.018563039,0.011295486,0.017230741,0.012857708,0.020431159,0.034354375,0.012385806,0.01772764,0.030380743,0.11198961,0.108666562,0.113163894,0.106068953,0.134929482,0.106662319,0.123045944,0.12329726,0.037933132,0.021135504,0.013376202,0.01617249,0.03244502,0.014418054,0.029196559,0.017641636,0.027836866,0.018165658,0.037810217,0.016546886,0.020052239,0.01000805,0.021458282,0.054053483,0,0,1,0,1,1,1,-0.29,-0.180620716,25/5/2022,27/5/2022
Australia,0.071911356,0.069522764,0.040226295,0.071726113,0.083637514,0.049042957,0.068584504,0.062750974,0.01727981,0.115944197,0.021046166,0.01798897,0.01922616,0.022391617,0.018457107,0.026105604,0.029549889,0.013099391,0.019211852,0.00728876,0.122272087,0.124614484,0.108022567,0.120366153,0.128784853,0.113186151,0.11742284,0.101853843,0.02998549,0.026340445,0.023428082,0.022658475,0.021597519,0.016988887,0.016656253,0.025077032,0.018987326,0.018869942,0.032023345,0.011241546,0.021454219,0.011569758,0.026363239,0.037877515,0,0,1,0,1,1,1,0.34,0.227207214,28/5/2022,31/5/2022
Australia,0.062016736,0.048316438,0.052827591,0.081386509,0.078394126,0.04984978,0.05599295,0.105528981,0.013385495,0.109583504,0.01608335,0.018567332,0.018446146,0.010156114,0.018202619,0.037889574,0.025638149,0.008626241,0.009388949,0.029632546,0.120975209,0.10696363,0.119390171,0.124090256,0.115984854,0.104897207,0.10124865,0.128005717,0.026075767,0.015791305,0.021403068,0.018234602,0.020542895,0.013069224,0.027383089,0.010879204,0.035161423,0.015984059,0.042173131,0.031718023,0.01658825,0.012083093,0.013866424,0.026341514,0,0,1,0,1,0,0,-0.62,0.222222223,4/3/2020,6/3/2020
Australia,0.071089321,0.065675986,0.077996271,0.076819074,0.077160506,0.051499083,0.058600671,0.096632655,0.013310931,0.115230792,0.016915708,0.019535834,0.013630179,0.01365721,0.017981015,0.034864268,0.015659015,0.007979516,0.018479047,0.022129219,0.112480483,0.119257402,0.124504655,0.115812442,0.131143296,0.109704195,0.107117688,0.129239568,0.032533789,0.012189241,0.020126015,0.013677198,0.03200335,0.014728487,0.026248756,0.020885624,0.029405038,0.015218491,0.060116209,0.019695319,0.024451456,0.008492265,0.023813004,0.036687674,0,0,1,0,1,0,0,1,0.466666667,7/3/2020,10/3/2020
Australia,0.082291852,0.070165791,0.081175179,0.073254778,0.074608457,0.051295572,0.098250304,0.137492705,0.01721833,0.117738971,0.016132402,0.021253923,0.028228143,0.016962259,0.02218428,0.041717291,0.017128012,0.010097855,0.025348352,0.0361635,0.127335613,0.120477755,0.126057361,0.118046777,0.123090515,0.108379312,0.136693838,0.156521637,0.035446945,0.018525081,0.017602297,0.012843021,0.022127584,0.012014363,0.025629426,0.019656569,0.042659991,0.020746263,0.062681222,0.017976324,0.022115854,0.008181199,0.030461342,0.039259976,0,0,1,1,1,0,0,2.43,-0.3125,11/3/2020,13/3/2020
Australia,0.091629633,0.089501746,0.076810721,0.082883924,0.107601066,0.064450577,0.094054482,0.109866388,0.017225881,0.123225377,0.01893452,0.022154854,0.019568508,0.01632799,0.020234384,0.035092352,0.028600549,0.010630123,0.027836095,0.027670868,0.129898393,0.131823256,0.11970041,0.121740982,0.1471053,0.115434287,0.132094166,0.130730268,0.035030065,0.019627659,0.019960293,0.018530013,0.029410741,0.015094804,0.022738527,0.019106305,0.033180112,0.022618704,0.052796019,0.021207615,0.029443922,0.010558288,0.027794116,0.03532529,1,1,1,1,1,0,0,0.53,0.243055556,14/3/2020,17/3/2020
Australia,0.105588506,0.082996106,0.087638331,0.074023044,0.105862841,0.072847058,0.095405651,0.136676963,0.019039936,0.125865812,0.018340561,0.024485002,0.024173306,0.018044276,0.022800446,0.030923096,0.026059073,0.012047688,0.027219294,0.038990311,0.14238774,0.125929361,0.131547817,0.110953054,0.139463355,0.119321737,0.126405255,0.16043642,0.035093415,0.016239029,0.021428504,0.020058804,0.029799405,0.013228498,0.024917521,0.024925966,0.046867186,0.027205224,0.055760949,0.023154553,0.026316168,0.011223783,0.027503048,0.042101354,1,1,1,1,1,0,0,-0.05,-0.57321534,18/3/2020,20/3/2020
Australia,0.090707306,0.085997479,0.073196048,0.06449016,0.101389913,0.068011856,0.081941093,0.108750534,0.017271785,0.122679312,0.016564835,0.023319684,0.021418421,0.019378008,0.017852712,0.024240593,0.022856072,0.011862436,0.025836639,0.026425079,0.132230396,0.129501981,0.117314979,0.10860056,0.137142813,0.118482031,0.121235632,0.135329666,0.031214194,0.017309895,0.017379302,0.012081612,0.025968661,0.012698238,0.02034492,0.021936292,0.040800947,0.025994435,0.052588171,0.019785088,0.02445674,0.011712026,0.021528318,0.038650631,1,1,1,1,1,0,0,0.17,0.176349966,21/3/2020,24/3/2020
