country,s1,s2,s3,s4,s5,s8,s6,s7,SN,A,PBC,O,s1_SN,s2_SN,s3_SN,s4_SN,s5_SN,s8_SN,s6_SN,s7_SN,s1_A,s2_A,s3_A,s4_A,s5_A,s8_A,s6_A,s7_A,s1_PBC,s2_PBC,s3_PBC,s4_PBC,s5_PBC,s8_PBC,s6_PBC,s7_PBC,s1_O,s2_O,s3_O,s4_O,s5_O,s8_O,s6_O,s7_O,s2_I,s1_I,s4_I,s5_I,s6_I,s3_I,s7_I,y1,y2,startDate,endDate
Australia,0.069802839,0.060361416,0.062554447,0.058426081,0.086751026,0.047646723,0.06368224,0.098670798,0.018128554,0.111719056,0.019078089,0.019931204,0.022582142,0.020344784,0.020450833,0.024966628,0.025316522,0.014386155,0.016620095,0.022048523,0.117912205,0.108443188,0.119729603,0.10638032,0.138896724,0.107980103,0.117315605,0.126325827,0.034939394,0.020550668,0.022336356,0.014591835,0.024895852,0.015043375,0.024584535,0.026657367,0.037122027,0.017779914,0.05109822,0.018304209,0.025814766,0.00891931,0.021241474,0.046764033,1,1,1,1,1,1,1,0.097464157,0.138233307,23/3/2022,29/3/2022
Australia,0.071316334,0.061935456,0.039896303,0.063096619,0.087686029,0.047921236,0.071448643,0.074623847,0.016424255,0.113911983,0.019897566,0.01797077,0.015843115,0.020260468,0.015505906,0.021229558,0.032133699,0.01262967,0.018300183,0.016817057,0.118481885,0.118037277,0.10870362,0.112850191,0.129078618,0.110999766,0.120893357,0.112299016,0.035368077,0.024255605,0.018516146,0.018634164,0.027086613,0.015719002,0.023155793,0.022350366,0.02347145,0.018275696,0.03426421,0.013931349,0.020277667,0.010581322,0.02492359,0.042943019,1,1,1,1,1,1,1,-0.22410272,0.045970584,25/5/2022,31/5/2022
Australia,0.066017063,0.058148923,0.067553303,0.077668473,0.075866311,0.050987419,0.058027,0.103525684,0.013378897,0.112635032,0.016422683,0.019009814,0.015180748,0.012449972,0.018191241,0.034608583,0.019008262,0.008329624,0.014359992,0.025444477,0.11380068,0.113828046,0.12110199,0.11805792,0.122800792,0.107829797,0.105152017,0.131783655,0.028012835,0.013778967,0.019633436,0.016005863,0.025070923,0.014352254,0.025239315,0.015446895,0.02996376,0.015600879,0.053189275,0.024120873,0.02153851,0.009978142,0.020027289,0.033572587,0,0,1,0,1,0,1,0.230769231,-0.377777778,4/3/2020,10/3/2020
Australia,0.090391981,0.08300365,0.080917249,0.07811425,0.097056883,0.058800218,0.096808557,0.118261226,0.01738921,0.121773692,0.017878379,0.02218332,0.02306388,0.01664891,0.021418435,0.03769214,0.02627929,0.010488608,0.026978971,0.029679841,0.131047394,0.12850977,0.124782641,0.120421501,0.139252846,0.112542178,0.133998563,0.139075416,0.03533928,0.019062135,0.019305926,0.016583433,0.027217408,0.013731201,0.024274086,0.01950318,0.03862774,0.022321133,0.058618146,0.020224631,0.025662674,0.009590895,0.029381752,0.035990943,1,1,1,1,1,0,1,2.571428571,-0.375,11/3/2020,17/3/2020
Australia,0.094876745,0.084954627,0.077786946,0.069440717,0.104052507,0.069818308,0.087440207,0.121938458,0.017899962,0.123696224,0.017161703,0.023633126,0.022267743,0.018815454,0.019693943,0.026978703,0.024104311,0.011933284,0.025983946,0.031816851,0.13433637,0.128232585,0.121900654,0.109661712,0.138720324,0.118660479,0.123260723,0.146268982,0.031963901,0.017036272,0.018705537,0.015192268,0.026930696,0.012851895,0.022200055,0.023052639,0.041978809,0.026354924,0.053296472,0.020845165,0.025715723,0.011471426,0.024032769,0.0407883,1,1,1,1,1,0,1,2.120689655,1.175137845,18/3/2020,24/3/2020
Australia,0.097864459,0.090301772,0.085971173,0.079819406,0.105258598,0.076626147,0.097977325,0.116527368,0.016855309,0.127767989,0.017146136,0.024239562,0.023613199,0.018410816,0.01859481,0.027331567,0.021472019,0.012325118,0.019968141,0.023615976,0.135259623,0.132599943,0.126049221,0.120492564,0.138869799,0.123359487,0.132452083,0.135508304,0.031210932,0.017345335,0.017436249,0.018939494,0.019806063,0.013647594,0.026673182,0.019165851,0.040181429,0.027531939,0.061093138,0.02126548,0.019950474,0.011680224,0.027869947,0.039103908,1,1,1,1,1,0,1,-0.38125,-0.358778962,25/3/2020,31/3/2020
Australia,0.085459085,0.067975458,0.053141802,0.071911756,0.083636869,0.059227539,0.07924249,0.090478378,0.014181225,0.117241718,0.017386461,0.025064019,0.018550872,0.013741755,0.01348422,0.018152625,0.019565503,0.011570228,0.018025743,0.022906434,0.12904081,0.117853264,0.107391645,0.115097014,0.127020187,0.116791818,0.123303779,0.11712091,0.031251711,0.017006488,0.015379345,0.018083662,0.022701662,0.015313026,0.01996905,0.021482997,0.038525258,0.027176309,0.05536703,0.023573325,0.024715781,0.013821126,0.028116508,0.032001966,1,1,1,1,1,0,1,0.617283951,-0.180232558,1/7/2020,7/7/2020
Australia,0.074565974,0.07016577,0.072985024,0.081234578,0.096961863,0.065233655,0.083322331,0.091642466,0.014949281,0.119387992,0.017729803,0.02475518,0.018939919,0.013256485,0.018557583,0.020305487,0.023455404,0.011561934,0.020826688,0.019025006,0.122593087,0.115615536,0.122431766,0.119431558,0.140043538,0.116702934,0.129756189,0.116017856,0.03409565,0.016264982,0.020643635,0.021639128,0.024897787,0.013676037,0.024022351,0.020100433,0.039894128,0.027131396,0.059478289,0.023914266,0.025874916,0.011836438,0.027256319,0.034216914,1,1,1,1,1,1,1,0.388235294,-0.426861215,8/7/2020,14/7/2020
Australia,0.081768089,0.079845233,0.068489289,0.088394337,0.108267741,0.065219347,0.089950262,0.094596123,0.01367662,0.126190474,0.021644293,0.027488063,0.016462036,0.013659774,0.015440716,0.017270335,0.016206413,0.011912734,0.011647484,0.016190036,0.125803025,0.121196785,0.120265387,0.129436309,0.149157485,0.126981106,0.126472878,0.125268734,0.040855822,0.024916399,0.025641243,0.018869928,0.030490571,0.01524742,0.022168974,0.020596572,0.034254284,0.031426058,0.054830177,0.019811213,0.027745296,0.015779124,0.033954992,0.039631364,1,1,1,1,1,1,1,-0.25,-0.133333333,27/1/2021,2/2/2021
Australia,0.08461328,0.081782506,0.076715988,0.090699853,0.098046184,0.071575142,0.096908189,0.098646619,0.014598473,0.124671551,0.021088525,0.028296659,0.01352918,0.012683902,0.018672759,0.016697765,0.022941418,0.012526225,0.016932718,0.019976265,0.125480245,0.121725364,0.123994283,0.132661471,0.132535798,0.123162463,0.130568368,0.127967498,0.036287501,0.023026001,0.024501426,0.017843109,0.029919981,0.015605338,0.025606193,0.020126025,0.038342467,0.032262149,0.053496481,0.025614433,0.026905893,0.016437334,0.024923395,0.045432576,1,1,1,1,1,1,1,0.222222222,2.166666667,3/2/2021,9/2/2021
