country,s1,s2,s3,s4,s5,s8,s6,s7,SN,A,PBC,O,s1_SN,s2_SN,s3_SN,s4_SN,s5_SN,s8_SN,s6_SN,s7_SN,s1_A,s2_A,s3_A,s4_A,s5_A,s8_A,s6_A,s7_A,s1_PBC,s2_PBC,s3_PBC,s4_PBC,s5_PBC,s8_PBC,s6_PBC,s7_PBC,s1_O,s2_O,s3_O,s4_O,s5_O,s8_O,s6_O,s7_O,s2_I,s1_I,s4_I,s5_I,s6_I,s3_I,s7_I,y1,y2,startDate,endDate
Australia,0.092439805,0.092841331,0.086455173,0.073334278,0.111857808,0.074563442,0.094110796,0.130133646,0.01703616,0.127219482,0.016946799,0.025315311,0.023135704,0.018074284,0.017684798,0.03170395,0.022822449,0.011804064,0.021950844,0.025086111,0.129928284,0.13289742,0.124617792,0.117163852,0.145101622,0.121124313,0.129949819,0.152000084,0.031276463,0.017841452,0.017516292,0.015110732,0.021202732,0.013267399,0.025739354,0.018302134,0.040518401,0.027605167,0.06408977,0.020747769,0.020465059,0.012114099,0.028395735,0.043301868,1,1,1,1,1,0,0,0.04,-0.13734113,25/3/2020,27/3/2020
Australia,0.101430915,0.08863518,0.0849854,0.086083823,0.099317749,0.078021873,0.100550155,0.106316666,0.016750986,0.128130079,0.017353472,0.023344483,0.024080814,0.018657148,0.019537165,0.023049932,0.020332321,0.012784819,0.018339311,0.022840126,0.139658768,0.132619426,0.127183556,0.123362397,0.133627099,0.124880527,0.134555421,0.123393615,0.031931333,0.016953924,0.017493287,0.022087727,0.018771871,0.013971447,0.027262758,0.019694363,0.039580692,0.027379453,0.058191485,0.021918918,0.019408917,0.011395122,0.027456643,0.035638551,1,1,1,1,1,0,0,-0.87,-0.967293553,28/3/2020,31/3/2020
Australia,0.0964702,0.070315079,0.049676663,0.077419077,0.082068356,0.067410515,0.095646975,0.106231409,0.015217292,0.122750126,0.018798115,0.026710053,0.020040829,0.013488149,0.015819212,0.019365393,0.021362739,0.01249259,0.023346904,0.021283184,0.135893278,0.120926377,0.111433327,0.118368639,0.132373674,0.122327355,0.139745327,0.129190155,0.031596125,0.016590006,0.013919526,0.019407643,0.024097119,0.018204221,0.024088494,0.023985604,0.041570939,0.02959096,0.058606308,0.024982446,0.030477979,0.014215926,0.026972174,0.040456822,1,1,1,1,1,0,0,1.4,2.04275492,1/7/2020,3/7/2020
Australia,0.075813947,0.065435149,0.054520454,0.067564187,0.084568663,0.051490762,0.067730179,0.081425184,0.013542029,0.112760246,0.016329091,0.024057503,0.017382822,0.013836494,0.011888109,0.017398955,0.017909429,0.011064315,0.014392353,0.024175185,0.122900531,0.114829195,0.104537662,0.112578797,0.123120906,0.112050688,0.111728015,0.110330026,0.031469525,0.017152319,0.016092351,0.017340527,0.021712153,0.013173535,0.016734824,0.020047404,0.036268306,0.02573842,0.05331573,0.022696737,0.021312862,0.01347017,0.029465981,0.027369601,1,1,1,1,1,0,0,-0.37,-0.181671062,4/7/2020,7/7/2020
Australia,0.091679388,0.074269931,0.07328823,0.078742411,0.089744131,0.067393483,0.092309905,0.091308399,0.015349911,0.120695451,0.017280793,0.025974155,0.017523551,0.013987049,0.017815486,0.018142173,0.023061492,0.012777139,0.020951168,0.017615635,0.134238664,0.118028628,0.121077222,0.117636145,0.131993859,0.11860702,0.131020038,0.115869389,0.034457646,0.017518433,0.020195229,0.020920673,0.023413156,0.012516736,0.022587281,0.01715369,0.046986059,0.028821586,0.057719601,0.026312307,0.029368502,0.012694121,0.025351411,0.037359256,1,1,1,1,1,0,0,0.05,-0.734816842,8/7/2020,10/7/2020
Australia,0.059863416,0.066173374,0.071728429,0.082823476,0.103246694,0.06346796,0.073402784,0.091411956,0.014730717,0.118020559,0.018051184,0.023803237,0.019903266,0.012896098,0.019150871,0.022320539,0.023870792,0.010732707,0.020700015,0.019762229,0.112149633,0.113509185,0.122360179,0.120115263,0.147485788,0.115164542,0.127609541,0.11545985,0.033438645,0.015391147,0.020615865,0.022025554,0.026239876,0.014614626,0.025207325,0.022438641,0.03351757,0.025860452,0.060370405,0.021591509,0.02214234,0.011241716,0.029162631,0.032144655,1,1,1,1,1,1,0,-0.04,-0.492279784,11/7/2020,14/7/2020
Australia,0.084900465,0.086934815,0.068040508,0.123263657,0.133715148,0.056672161,0.108609078,0.105993003,0.014696521,0.134156857,0.024554904,0.02453195,0.016107081,0.013844281,0.019239111,0.018861517,0.016667397,0.012781173,0.010664902,0.021043482,0.131314409,0.125609589,0.122484538,0.153585641,0.172396667,0.131668959,0.137033321,0.131730404,0.042650721,0.031570265,0.031575475,0.0172421,0.033207568,0.016357117,0.023711067,0.022942909,0.032790894,0.024171759,0.048787388,0.018723268,0.030963766,0.014115545,0.039927358,0.041640981,1,1,1,1,1,1,0,-0.13,0.066666667,27/1/2021,29/1/2021
Australia,0.077437422,0.075800601,0.069384203,0.060574534,0.086764832,0.070117186,0.080099096,0.08819485,0.013078706,0.12088129,0.019563841,0.029686332,0.016159913,0.013635335,0.013088823,0.015810176,0.016589586,0.01150657,0.012458615,0.012168681,0.120475085,0.118862969,0.119451144,0.109610985,0.129300673,0.123308861,0.121193936,0.121660672,0.039014595,0.020617197,0.02200353,0.020603855,0.028301594,0.014366036,0.021124409,0.017964931,0.035432501,0.036102743,0.058841529,0.020447395,0.024999867,0.017047427,0.031936757,0.036913031,1,1,1,1,1,1,0,0.14,0.485714286,30/1/2021,2/2/2021
Australia,0.08198295,0.083856545,0.076758964,0.095740049,0.103687007,0.08046061,0.102349783,0.099554281,0.015074414,0.127509025,0.021014693,0.030594721,0.015782294,0.012724929,0.019809852,0.016245417,0.023289686,0.012876301,0.019912455,0.018792303,0.124343146,0.124365461,0.122406832,0.138079224,0.133884312,0.127811751,0.132094885,0.130912153,0.04102095,0.023549668,0.025734286,0.017380592,0.028694644,0.014229007,0.025703923,0.019051885,0.036679606,0.036116583,0.058404501,0.025695532,0.028373977,0.017123285,0.029299973,0.045798978,1,1,1,1,1,1,0,-0.33,0,3/2/2021,5/2/2021
Australia,0.084911425,0.077479286,0.076992186,0.084385116,0.090058713,0.062548368,0.09152054,0.095561663,0.014315816,0.121402331,0.021255261,0.026069798,0.011809943,0.012163934,0.018435385,0.018259226,0.023224227,0.012689989,0.012720545,0.020002004,0.127247395,0.117472393,0.126403642,0.125819521,0.131337021,0.118836099,0.128818327,0.122720233,0.031436512,0.02213842,0.023418361,0.019409652,0.030301092,0.017165532,0.026392112,0.020720611,0.038013058,0.027963586,0.048296514,0.025926297,0.025795323,0.016342243,0.019638737,0.044319682,1,1,1,1,1,1,0,1.33,3.166666667,6/2/2021,9/2/2021
